Q,WINDING,IOTA_YUGO,CONTRACTION,Split_t,Lead_s
1.55,6.0,1.1,0.65,,0.0
1.62,8.0,1.15,0.72,,0.0
1.68,6.0,1.2,0.68,,0.0
1.68,6.0,1.2,0.65,,0.0
1.68,6.0,1.15,0.72,,0.0
1.68,6.0,1.15,0.68,,0.0
1.68,6.0,1.15,0.65,,0.0
1.68,6.0,1.1,0.72,,0.0
1.68,6.0,1.1,0.68,,0.0
1.68,6.0,1.1,0.65,,0.0
1.62,8.0,1.2,0.72,,0.0
1.62,8.0,1.2,0.68,,0.0
1.62,8.0,1.2,0.65,,0.0
1.62,8.0,1.15,0.68,,0.0
1.55,6.0,1.1,0.68,,0.0
1.62,8.0,1.15,0.65,,0.0
1.62,8.0,1.1,0.72,,0.0
1.62,8.0,1.1,0.68,,0.0
1.62,8.0,1.1,0.65,,0.0
1.62,7.0,1.2,0.72,,0.0
1.62,7.0,1.2,0.68,,0.0
1.62,7.0,1.2,0.65,,0.0
1.62,7.0,1.15,0.72,,0.0
1.62,7.0,1.15,0.68,,0.0
1.62,7.0,1.15,0.65,,0.0
1.62,7.0,1.1,0.72,,0.0
1.68,6.0,1.2,0.72,,0.0
1.68,6.5,1.1,0.65,,0.0
1.68,6.5,1.1,0.68,,0.0
1.68,6.5,1.1,0.72,,0.0
1.68,8.0,1.2,0.68,,0.0
1.68,8.0,1.2,0.65,,0.0
1.68,8.0,1.15,0.72,,0.0
1.68,8.0,1.15,0.68,,0.0
1.68,8.0,1.15,0.65,,0.0
1.68,8.0,1.1,0.72,,0.0
1.68,8.0,1.1,0.68,,0.0
1.68,8.0,1.1,0.65,,0.0
1.68,7.0,1.2,0.72,,0.0
1.68,7.0,1.2,0.68,,0.0
1.68,7.0,1.2,0.65,,0.0
1.68,7.0,1.15,0.72,,0.0
1.68,7.0,1.15,0.68,,0.0
1.68,7.0,1.15,0.65,,0.0
1.68,7.0,1.1,0.72,,0.0
1.68,7.0,1.1,0.68,,0.0
1.68,7.0,1.1,0.65,,0.0
1.68,6.5,1.2,0.72,,0.0
1.68,6.5,1.2,0.68,,0.0
1.68,6.5,1.2,0.65,,0.0
1.68,6.5,1.15,0.72,,0.0
1.68,6.5,1.15,0.68,,0.0
1.68,6.5,1.15,0.65,,0.0
1.62,7.0,1.1,0.68,,0.0
1.62,7.0,1.1,0.65,,0.0
1.62,6.5,1.2,0.72,,0.0
1.55,7.0,1.2,0.72,,0.0
1.55,7.0,1.2,0.65,,0.0
1.55,7.0,1.15,0.72,,0.0
1.55,7.0,1.15,0.68,,0.0
1.55,7.0,1.15,0.65,,0.0
1.55,7.0,1.1,0.72,,0.0
1.55,7.0,1.1,0.68,,0.0
1.55,7.0,1.1,0.65,,0.0
1.55,6.5,1.2,0.72,,0.0
1.55,6.5,1.2,0.68,,0.0
1.55,6.5,1.2,0.65,,0.0
1.55,6.5,1.15,0.72,,0.0
1.55,6.5,1.15,0.68,,0.0
1.55,6.5,1.15,0.65,,0.0
1.55,6.5,1.1,0.72,,0.0
1.55,6.5,1.1,0.68,,0.0
1.55,6.5,1.1,0.65,,0.0
1.55,6.0,1.2,0.72,,0.0
1.55,6.0,1.2,0.68,,0.0
1.55,6.0,1.2,0.65,,0.0
1.55,6.0,1.15,0.72,,0.0
1.55,6.0,1.15,0.68,,0.0
1.55,6.0,1.15,0.65,,0.0
1.55,6.0,1.1,0.72,,0.0
1.55,7.0,1.2,0.68,,0.0
1.55,8.0,1.1,0.65,,0.0
1.62,6.5,1.2,0.68,,0.0
1.55,8.0,1.1,0.68,,0.0
1.62,6.5,1.2,0.65,,0.0
1.62,6.5,1.15,0.72,,0.0
1.62,6.5,1.15,0.68,,0.0
1.62,6.5,1.15,0.65,,0.0
1.62,6.5,1.1,0.72,,0.0
1.62,6.5,1.1,0.68,,0.0
1.62,6.5,1.1,0.65,,0.0
1.62,6.0,1.2,0.72,,0.0
1.62,6.0,1.2,0.68,,0.0
1.62,6.0,1.2,0.65,,0.0
1.62,6.0,1.15,0.72,,0.0
1.62,6.0,1.15,0.68,,0.0
1.62,6.0,1.15,0.65,,0.0
1.62,6.0,1.1,0.72,,0.0
1.62,6.0,1.1,0.68,,0.0
1.62,6.0,1.1,0.65,,0.0
1.55,8.0,1.2,0.72,,0.0
1.55,8.0,1.2,0.68,,0.0
1.55,8.0,1.2,0.65,,0.0
1.55,8.0,1.15,0.72,,0.0
1.55,8.0,1.15,0.68,,0.0
1.55,8.0,1.15,0.65,,0.0
1.55,8.0,1.1,0.72,,0.0
1.68,8.0,1.2,0.72,,0.0
