lambda,risk,distance,field
0.5011702014522917,0.004070137715896128,1.3800851726528542,0.02340402904583445
0.5033136522451378,0.004093924146287181,1.3799449368570258,0.04286901585692138
0.5062293205897628,0.004137853199114896,1.379685934666254,0.05831336689250048
0.5097541943731129,0.00419836297346192,1.3793291590518926,0.0704974756670008
0.5137561424947783,0.004272693409310098,1.3788908988750008,0.08003896243330977
0.5181281166747284,0.004358673601095842,1.3783840015889963,0.0874394835990012
0.5227834415376589,0.004454573573036825,1.3778187494698422,0.0931064972586097
0.5276519884262133,0.004558998917657282,1.377203478906292,0.09737093777108888
0.5326770669640848,0.004670814484495174,1.3765450260703804,0.10050157075742906
0.5378128996395954,0.004789088117915006,1.3758490533816794,0.10271665351021383
0.5430225700173565,0.004913048475917576,1.3751202928125614,0.10419340755522094
0.5482763557395701,0.005042052907786401,1.3743627302436896,0.1050757144442715
0.5535503741591369,0.005175562637307364,1.3735797473474827,0.10548036839133608
0.5588254819881491,0.005313123338135037,1.372774232365982,0.1055021565802438
0.5640863813410474,0.005454349751534162,1.3719486677315151,0.10521798705796716
0.569320893481994,0.005598913380073211,1.3711052001675597,0.10469024281893194
0.5745193688399145,0.0057465325549523934,1.3702456973275179,0.10396950715841044
0.5796742077475723,0.005896964358947967,1.369371793937195,0.10309677815315517
0.5847794711487369,0.006049998017236689,1.3684849296430706,0.10210526802329102
0.5898305644075548,0.0062054494616848276,1.3675863802276136,0.10102186517635782
0.5948239805150867,0.006363156841941661,1.3666772834646286,0.0998683221506379
0.5997570915564274,0.006522976806555785,1.365758660604889,0.09866222082681557
0.6046279793889562,0.0066847814145684714,1.364831434273227,0.09741775665057421
0.6094352981782974,0.00684845556622632,1.3638964434011889,0.09614637578682478
0.6141781628168114,0.007013894863088265,1.362954455699483,0.09485729277027943
0.6188560583694167,0.0071810038246229125,1.3620061780815136,0.09355791105210763
0.6234687666016745,0.007349694401633215,1.3610522653761767,0.09225416464515648
0.6280163063846402,0.007519884737386844,1.36009332760979,0.09095079565931376
0.6324988853719751,0.007691498135807969,1.3591299360899558,0.0896515797466971
0.6369168608331626,0.007864462202964318,1.35816262848578,0.08835950922374967
