step,lambda,risk,distance,grad,dlam,w_field,w_target,vmin,vmax,line_max_loading_percent,vm_dev,converged,state
0,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03828721020132225,0.9194670513963209,0.15,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
1,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03810142351551523,0.9194670513963209,0.16878375737518456,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
2,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03791974244386084,0.9194670513963209,0.18715242117256942,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
3,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03774207625828836,0.9194670513963209,0.20511516435339378,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
4,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03756833623568478,0.9194670513963209,0.22268095716986352,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
5,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.037398435613588195,0.9194670513963209,0.23985857164472468,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
6,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03723228954686026,0.9194670513963209,0.2566565859518444,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
7,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03706981506531616,0.9194670513963209,0.27308338869998783,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
8,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.036910931032290865,0.9194670513963209,0.2891471831219299,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
9,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.036755558104121025,0.9194670513963209,0.30485599117099366,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
10,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03660361869052226,0.9194670513963209,0.320217657527061,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
11,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03645503691584205,0.9194670513963209,0.3352398535140567,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
12,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03630973858116886,0.9194670513963209,0.34993008093086153,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
13,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03616765112727863,0.9194670513963209,0.36429567579756816,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
14,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03602870359840008,0.9194670513963209,0.37834381201894945,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
15,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03589282660678075,0.9194670513963209,0.39208150496697086,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
16,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03575995229803607,0.9194670513963209,0.4055156149841329,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
17,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03563001431726416,0.9194670513963209,0.4186528508093963,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
18,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.035502947775909476,0.9194670513963209,0.43149977292839814,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
19,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03537868921935869,0.9194670513963209,0.4440627968496338,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
20,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03525717659525265,0.9194670513963209,0.45634819630823986,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
21,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.035138349222498644,0.9194670513963209,0.46836210639897813,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
22,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.0350221477609674,0.9194670513963209,0.4801105266399849,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
23,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03490851418185974,0.9194670513963209,0.49159932396881667,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
24,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.0347973917387281,0.9194670513963209,0.5028342356722868,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
25,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03468872493913851,0.9194670513963209,0.5138208722515574,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
26,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03458245951695858,0.9194670513963209,0.5245647202239169,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
27,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03447854240525819,0.9194670513963209,0.5350711448626427,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
28,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03437692170980875,0.9194670513963209,0.5453453928763161,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
29,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03427754668316828,0.9194670513963209,0.5553925950289292,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
30,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03418036769933906,0.9194670513963209,0.5652177687020905,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
31,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03408533622898539,0.9194670513963209,0.5748258204006097,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
32,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.033992404815198926,0.9194670513963209,0.5842215482027133,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
33,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.033901527049799644,0.9194670513963209,0.5934096441561135,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
34,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03381265755016043,0.9194670513963209,0.6023946966211271,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
35,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03372575193654389,0.9194670513963209,0.6111811925620156,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
36,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03364076680993996,0.9194670513963209,0.6197735197876907,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
37,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.033557659730393236,0.9194670513963209,0.6281759691429006,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
38,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.033476389195809295,0.9194670513963209,0.6363927366509982,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
39,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.033396914621229325,0.9194670513963209,0.644427925609354,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
40,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.033319196318562776,0.9194670513963209,0.6522855486384658,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
41,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03324319547676788,0.9194670513963209,0.659969529685784,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
42,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.033168874142470134,0.9194670513963209,0.6674837059852571,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
43,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.033096195201009156,0.9194670513963209,0.6748318299735729,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
44,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03302512235790428,0.9194670513963209,0.6820175711640544,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
45,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03295562012072981,0.9194670513963209,0.6890445179791441,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
46,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.032887653781390774,0.9194670513963209,0.695916179542395,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
47,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.032821189398790356,0.9194670513963209,0.7026359874308595,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
48,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.032756193781880355,0.9194670513963209,0.7092072973887538,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
49,0.6,0.012016698392790676,0.2100889534259248,0.0,-0.03269263447308623,0.9194670513963209,0.7156333910032524,0.9793529600397755,1.012299166467797,65.2120084845892,0.006408905809488361,True,CRITICAL
