time,voltage
0,0.9797873466561435
1,0.978317294533103
2,0.9770461408882799
3,0.9768273268493263
4,0.9734680455927119
5,0.9669195141538744
6,0.9658463654380394
7,0.9602095307035196
8,0.9617837678873135
9,0.9541931811898263
10,0.9528900871683877
11,0.9459453267267922
12,0.936595578078203
13,0.9349803619367438
14,0.9289810043227158
15,0.925604956432496
16,0.9205741431041621
17,0.9137617064774782
18,0.9054619119403855
19,0.9051200333091302
20,0.896892636188684
21,0.8897972889363952
22,0.884154141266829
23,0.8732295229754149
24,0.8694803165525288
25,0.8579293383790509
26,0.852005704368787
27,0.8457142104562686
28,0.8417152939807718
29,0.8277009647895488
30,0.8226664192810398
31,0.8165648854985027
32,0.8079747456044138
33,0.7989706045663896
34,0.7907989161965888
35,0.7836676784290599
36,0.7764041084620069
37,0.7627421540856358
38,0.7554808266214686
39,0.7473025120731908
40,0.7404600921839328
41,0.7286988918928249
42,0.7154790128429636
43,0.7106249793266041
44,0.6981628109940278
45,0.6931993417442035
46,0.6809344198002643
47,0.6723051013870601
48,0.6539558700921775
49,0.655113234153547
