time,voltage
0.0,1.003621
0.1001,0.997899
0.2002,1.001406
0.3003,1.004324
0.4003,1.001373
0.5004,0.998858
0.6005,1.001777
0.7006,0.99816
0.8007,1.001228
0.9008,0.998869
1.0008,1.001966
1.1009,1.000432
1.201,0.99931
1.3011,1.001703
1.4012,1.000088
1.5013,0.998695
1.6013,1.000822
1.7014,1.000595
1.8015,0.999229
1.9016,1.002063
2.0017,0.998376
2.1018,0.997154
2.2018,0.999491
2.3019,1.001886
2.402,1.000131
2.5021,0.999988
2.6022,0.998293
2.7023,0.999713
2.8023,1.001607
2.9024,0.999904
3.0025,1.005014
3.1026,1.00001
3.2027,0.999999
3.3028,1.001173
3.4028,0.998936
3.5029,0.999591
3.603,0.997073
3.7031,0.997002
3.8032,1.003572
3.9033,1.00014
4.0033,0.997979
4.1034,1.001084
4.2035,1.003475
4.3036,1.003267
4.4037,1.001135
4.5038,0.99354
4.6038,1.001444
4.7039,0.999103
4.804,0.99746
4.9041,0.998597
5.0042,0.998356
5.1043,1.001557
5.2043,1.004428
5.3044,0.999873
5.4045,1.000314
5.5046,1.001434
5.6047,0.999457
5.7048,1.001878
5.8048,1.000426
5.9049,0.997188
6.005,1.002421
6.1051,0.998906
6.2052,1.001613
6.3053,1.000731
6.4053,1.001276
6.5054,0.999204
6.6055,1.004691
6.7056,0.998531
6.8057,1.002831
6.9058,1.000426
7.0058,0.999332
7.1059,1.004941
7.206,0.999507
7.3061,0.997679
7.4062,1.001464
7.5063,1.003608
7.6063,0.998045
7.7064,0.998003
7.8065,0.997784
7.9066,1.001268
8.0067,1.001389
8.1068,1.001925
8.2068,1.002207
8.3069,0.996689
8.407,0.999646
8.5071,0.999953
8.6072,0.999979
8.7073,1.000766
8.8073,0.998871
8.9074,0.999044
9.0075,0.999971
9.1076,1.001071
9.2077,0.99931
9.3078,0.999271
9.4078,0.999889
9.5079,1.000734
9.608,1.002373
9.7081,1.000373
9.8082,1.000897
9.9083,0.999541
10.0083,1.000002
10.1084,1.000364
10.2085,0.996569
10.3086,1.001247
10.4087,0.998854
10.5088,1.000207
10.6088,0.998345
10.7089,0.999175
10.809,0.997835
10.9091,0.998814
11.0092,1.001821
11.1093,0.999288
11.2093,1.003769
11.3094,0.998447
11.4095,1.001689
11.5096,0.999837
11.6097,1.000252
11.7098,0.999758
11.8098,1.002184
11.9099,0.996796
12.01,0.997064
12.1101,0.99954
12.2102,1.001113
12.3103,0.997442
12.4103,0.997261
12.5104,0.999764
12.6105,1.001268
12.7106,0.99963
12.8107,1.000401
12.9108,1.001194
13.0108,0.998304
13.1109,1.000155
13.211,1.003073
13.3111,1.001514
13.4112,1.000635
13.5113,1.00102
13.6113,1.002385
13.7114,1.000353
13.8115,0.997856
13.9116,0.99714
14.0117,1.001215
14.1118,1.000742
14.2118,0.997544
14.3119,1.001472
14.412,1.005176
14.5121,1.000433
14.6122,1.002949
14.7123,1.001422
14.8123,0.999648
14.9124,0.998641
15.0125,1.00111
15.1126,0.99779
15.2127,0.998569
15.3128,0.996099
15.4128,0.999619
15.5129,1.000127
15.613,1.003032
15.7131,0.998725
15.8132,1.003219
15.9133,1.000917
16.0133,1.000097
16.1134,0.999505
16.2135,1.000183
16.3136,1.00305
16.4137,1.000433
16.5138,0.998154
16.6138,0.999321
16.7139,0.999671
16.814,0.999147
16.9141,1.001762
17.0142,1.002066
17.1143,0.996831
17.2143,0.996167
17.3144,1.000449
17.4145,0.999384
17.5146,1.000363
17.6147,1.001681
17.7148,0.999677
17.8148,0.998155
17.9149,0.998119
18.015,0.99575
18.1151,1.002207
18.2152,0.999839
18.3153,0.9968
18.4153,0.99614
18.5154,0.999222
18.6155,0.999907
18.7156,1.0013
18.8157,1.003769
18.9158,0.999148
19.0158,0.996385
19.1159,1.001205
19.216,0.998129
19.3161,0.99672
19.4162,0.997955
19.5163,0.998177
19.6163,0.998829
19.7164,1.002854
19.8165,0.996594
19.9166,0.997069
20.0167,1.000507
20.1168,0.998013
20.2168,0.998764
20.3169,1.000682
20.417,0.998898
20.5171,0.997541
20.6172,0.999798
20.7173,0.999378
20.8173,0.998277
20.9174,0.999941
21.0175,0.999266
21.1176,1.002438
21.2177,0.999168
21.3178,1.000852
21.4178,0.999674
21.5179,1.000188
21.618,1.000002
21.7181,0.998662
21.8182,1.002941
21.9183,0.999861
22.0183,0.999158
22.1184,0.999494
22.2185,1.003335
22.3186,1.000389
22.4187,0.999006
22.5188,0.999157
22.6188,0.999202
22.7189,0.996633
22.819,1.00129
22.9191,0.997215
23.0192,0.999884
23.1193,1.001591
23.2193,1.001553
23.3194,0.99921
23.4195,0.999346
23.5196,0.998283
23.6197,1.000926
23.7198,0.999274
23.8198,1.001052
23.9199,0.998571
24.02,1.000031
24.1201,0.999814
24.2202,0.999909
24.3203,0.997877
24.4204,1.003105
24.5204,0.999854
24.6205,1.002195
24.7206,1.00003
24.8207,1.001443
24.9208,1.000594
25.0209,1.000448
25.1209,1.004201
25.221,1.003505
25.3211,0.997005
25.4212,1.004679
25.5213,1.00072
25.6214,0.999375
25.7214,1.000054
25.8215,1.00105
25.9216,1.000342
26.0217,0.998856
26.1218,1.001894
26.2219,1.004542
26.3219,1.000414
26.422,0.999338
26.5221,0.998984
26.6222,0.999343
26.7223,1.004889
26.8224,1.002408
26.9224,1.003296
27.0225,0.998437
